"RecipeID","Name","식품대분류","식품상세분류","1회제공량(g)","calories","carbohydrate","protein","fat","sugar","sodium"
"52","소세지볶음","볶음류","육류볶음","200","471","31.8","18.8","29.9","8.9","1436.06"
"53","순대볶음","볶음류","육류볶음","400","582","76.7","20.7","21.3","5.4","1500.35"
"54","양송이버섯볶음","볶음류","채소류볶음","150","136","11","4.5","8.3","1.2","515.17"
"55","오삼불고기","볶음류","육류볶음","200","363","20.5","25.6","19.9","7.6","885.09"
"56","주꾸미볶음","볶음류","어패류볶음","200","211.41","22.82","18.33","5.2","5.06","918.86"
"57","표고버섯볶음","볶음류","채소류볶음","150","142","15.8","4.5","6.7","2.6","574.8"
"58","해물볶음","볶음류","어패류볶음","400","419.06","32.2","38.2","15.3","7.4","1755.16"
"59","국물떡볶이","볶음류","떡볶이류","515","796","0","15","0","17","1384"
"60","국물떡볶이","볶음류","떡볶이류","2094","636","0","8","0","58","2007"
"61","치즈국물떡볶이","볶음류","떡볶이류","2253","2530","0","102","0","125","10550"
"62","텐더떡볶이","볶음류","떡볶이류","199","418","0","12","0","15","279"
"63","애호박볶음","볶음류","채소류볶음","50","29.52","2.65","0.66","1.81","0.21","223.39"
"64","감자볶음","볶음류","채소류볶음","100","100.18","12.41","1.75","4.84","3.37","318.41"
"65","감자채소볶음","볶음류","채소류볶음","130","139.78","17.03","2.65","6.79","0.15","270.72"
"66","건새우볶음","볶음류","어패류볶음","20","60.83","1.08","8.31","2.59","0.81","310.78"
"67","고추볶음","볶음류","채소류볶음","100","69.78","8.25","1.93","3.23","4.34","275.73"
"68","김치볶음","볶음류","채소류볶음","100","106.07","7.27","1.38","7.94","4.45","521.44"
"69","꽈리고추멸치볶음","볶음류","어패류볶음","50","126.57","3.98","11.81","7.04","3.12","666.95"
"70","낙지볶음","볶음류","어패류볶음","200","182.69","17.2","11.53","7.53","15.81","1074.86"
"71","느타리버섯볶음","볶음류","채소류볶음","50","47.09","3.39","1.4","3.1","2.12","261.84"
"72","닭가슴살피망볶음","볶음류","육류볶음","80","97.58","1.1","13.11","4.52","0.23","392.22"
"73","닭발볶음","볶음류","육류볶음","200","372.98","23.44","27.6","18.76","12.74","1948.37"
"74","닭볶음","볶음류","육류볶음","300","558.83","23.8","41.93","32.88","2.32","1013.89"
"75","당근볶음","볶음류","채소류볶음","90","85.13","7.01","0.84","5.97","4.05","194.28"
"76","돼지고기김치볶음","볶음류","육류볶음","230","371.22","13.63","27.16","23.12","6.68","1173.54"
"77","돼지고기채소볶음","볶음류","육류볶음","230","388.96","19.84","38.12","17.46","15.33","796.2"
"78","돼지곱창순대볶음","볶음류","육류볶음","230","299.11","42.59","16.64","6.91","7.52","495.64"
"79","떡볶이","볶음류","떡볶이류","180","260.02","46.72","6.31","5.32","7.92","703.12"
"80","라볶이","볶음류","떡볶이류","200","268.47","40.28","5.66","9.41","1.88","622.28"
"81","마늘쫑볶음","볶음류","채소류볶음","140","123.91","18.44","4.55","3.55","7.4","786.79"
"82","마늘쫑잔멸치볶음","볶음류","어패류볶음","50","58.42","7.71","3.77","1.39","2.85","252.37"
"83","마파두부","볶음류","채소류볶음","160","174.33","8.58","11.67","10.37","3.92","563.45"
"84","멸치견과류볶음","볶음류","어패류볶음","50","206.95","9.18","15.2","12.16","7.01","913.86"
"85","멸치마늘쫑볶음","볶음류","어패류볶음","50","138.41","6.21","16.2","5.42","2.13","1250.51"
"86","멸치볶음","볶음류","어패류볶음","50","138","6.81","19.72","3.54","5.8","1303.05"
"87","묵은지삼겹살볶음","볶음류","육류볶음","200","302.03","16.79","11.52","20.98","7.23","1207.11"
"88","문어고추장볶음","볶음류","어패류볶음","200","175.01","17.23","21.93","2.04","10.88","974.4"
"89","미역줄기볶음","볶음류","어패류볶음","80","61.43","3.88","0.77","4.76","0.44","404.01"
"90","브로콜리볶음","볶음류","채소류볶음","90","46.14","4.98","3.98","1.15","1.28","84.88"
"91","새송이버섯볶음","볶음류","채소류볶음","120","145.44","11.15","3.54","9.63","4.5","408.74"
"92","새우볶음","볶음류","어패류볶음","200","166.66","11.91","19.81","4.42","7.97","652.19"
"93","소시지볶음","볶음류","육류볶음","200","559.51","28.82","23.88","38.75","11.66","1773.53"
"94","쇠고기고추장볶음","볶음류","육류볶음","220","434.08","23.55","31.59","23.73","21.33","1218.57"
"95","쇠고기버섯볶음","볶음류","육류볶음","230","330.36","15.91","26.66","17.79","6.55","848.07"
"96","쇠고기볶음","볶음류","육류볶음","190","543.39","5.4","33.24","43.2","8.16","562.62"
"97","쇠고기채소볶음","볶음류","육류볶음","230","288.81","14.81","29.44","12.42","10.41","619.78"
"98","양파볶음","볶음류","채소류볶음","80","44.67","7.61","0.79","1.23","7.32","219.4"
"99","어묵볶음","볶음류","어패류볶음","140","275.24","34.06","11.78","10.21","8.84","1144.7"
"100","어묵잡채","볶음류","어패류볶음","280","414.12","73.15","6.55","10.59","4.2","1201.2"
"101","어묵채소볶음","볶음류","어패류볶음","90","136.68","15.48","5.7","5.77","1.13","568.9"
"102","오징어볶음","볶음류","어패류볶음","200","255.56","14.86","19.69","13.04","3.85","619.61"
"103","오징어채볶음","볶음류","어패류볶음","20","59.52","4.07","4.09","2.99","4.92","263.9"
"104","유산슬","볶음류","기타 볶음류","220","189.43","9.01","16.58","9.68","4.73","463.88"
"105","잔멸치견과류볶음","볶음류","어패류볶음","50","193.96","11.32","12.17","11.11","7.27","876.32"
"106","잔멸치고추볶음","볶음류","어패류볶음","50","114.05","2.86","16.64","4","1.88","1030.52"
"107","잔멸치꽈리고추볶음","볶음류","어패류볶음","50","146.65","4.62","12.39","8.74","2.92","633.08"
"108","잔멸치볶음","볶음류","어패류볶음","50","170.46","4.81","21.82","7.1","6.54","1395.79"
"109","잔멸치풋고추볶음","볶음류","어패류볶음","50","127.82","8.47","14.12","4.16","5.31","1035.08"
"110","잡채","볶음류","기타 볶음류","200","291.15","48.52","9.41","6.6","1.45","719.68"
"111","제육볶음","볶음류","육류볶음","250","487.98","11.82","30.37","35.47","0.94","1251.93"
"112","죽순쇠고기볶음","볶음류","육류볶음","230","276.31","8.69","31.46","12.86","4.77","492.5"
"113","참치 김치볶음","볶음류","어패류볶음","100","121.88","7.12","8.33","6.68","1.83","479.74"
"114","채소떡볶이","볶음류","떡볶이류","200","515.29","114.11","6.24","3.76","3.94","537.97"
"115","콩나물잡채","볶음류","채소류볶음","230","153.12","28.86","4.43","2.22","21.56","1422.94"
"116","팔보채","볶음류","기타 볶음류","220","196.98","7.53","27.33","6.39","4.59","1883.99"
"117","멸치풋고추볶음","볶음류","어패류볶음","50","94.83","6.65","10.31","3","4.51","672.44"
"118","햄채소볶음","볶음류","육류볶음","220","401.83","21.13","23.04","25.02","7.32","1766.73"
"119","돈불고기 파인애플볶음","볶음류","육류볶음","74","113.18","5.65","9.03","6.05","0","187.59"
"120","만가닥버섯볶음","볶음류","채소류볶음","43","25.34","3.31","1.61","0.63","0","122.77"
"121","브로콜리견과류볶음","볶음류","채소류볶음","55","113.45","5.29","3.03","8.91","0","4.31"
"122","김치양배추볶음","볶음류","채소류볶음","47","34.24","2.75","0.89","2.19","0","159.33"
"123","치즈떡볶이","볶음류","떡볶이류","28","49","9","1","0.7","0","108"
"124","청양 국물 떡볶이(대)","볶음류","떡볶이류","100","155","27","5","3","3","476"
"125","청양 국물 떡볶이(소)","볶음류","떡볶이류","100","155","27","5","3","3","476"
"126","청양 오뎅 떡볶이(대)","볶음류","떡볶이류","100","131","21","5","3","3","518"
"127","청양 오뎅 떡볶이(소)","볶음류","떡볶이류","100","131","21","5","3","3","518"
"128","눈꽃치즈 떡볶이(대)","볶음류","떡볶이류","100","144","20","7","4","2","451"
"129","눈꽃치즈 떡볶이(소)","볶음류","떡볶이류","100","144","20","7","4","2","451"
"130","매운 짜장 떡볶이(대)","볶음류","떡볶이류","100","166","32","5","2","7","478"
"131","매운 짜장 떡볶이(소)","볶음류","떡볶이류","100","166","32","5","2","7","478"
"132","매콤제육볶음","볶음류","육류볶음","100","173","13","10","9","8","375"
"133","달콤제육볶음","볶음류","육류볶음","100","174","11","10","10","7","405"
"134","간장제육볶음","볶음류","육류볶음","100","157","9","10","9","8","472"
"135","돼지불백","볶음류","육류볶음","100","157","9","10","9","8","477"
"136","오삼불고기","볶음류","육류볶음","100","150","13","11","6","8","405"
"137","뚝배기불고기","볶음류","육류볶음","100","132","8","7","8","7","445"
"138","소불고기","볶음류","육류볶음","100","166","10","9","10","8","500"
"139","오돌뼈볶음","볶음류","육류볶음","100","82","13","3","1.7","8","377"
"140","매콤오징어볶음","볶음류","어패류볶음","100","114","14","10","1.9","9","477"
"141","국물떡볶이","볶음류","떡볶이류","100","154","30","4","2","13","571"
"142","짜장떡볶이","볶음류","떡볶이류","100","135","23","4","2.9","7","572"
"143","치킨데리야끼","볶음류","육류볶음","100","112","8","11","4.1","5","195"
"144","깻잎매콤순대볶음","볶음류","기타 볶음류","100","139","25","3","2.8","4","463"
"145","들깨백순대볶음","볶음류","기타 볶음류","100","143","26","3","3.1","4","385"
"146","돼지고기콩나물두루치기","볶음류","육류볶음","100","169","12","10","9","7","379"
"147","통오징어콩나물두루치기","볶음류","어패류볶음","100","106","12","10","2.1","8","439"
"148","국물떡볶이(사은품)","볶음류","떡볶이류","100","195","38","4","2.6","16","768"
"149","차돌박이 숙주 볶음","볶음류","육류볶음","100","168","1","5","16","1","235"
"150","감바스 알아히요","볶음류","어패류볶음","100","325","9","7","29","0","376"
"151","몬스터 치즈 프라이","볶음류","채소류볶음","100","192","16","5","12","3","269"
"152","기사식당 돼지 불고기","볶음류","육류볶음","100","105","4","11","5","1","270"
"153","매콤 콩나물 불고기","볶음류","육류볶음","100","160","12","10","8","2","399"
"154","돼지고기 짜글이","볶음류","육류볶음","100","128","5","9","8","2","898"
"155","수제비 떡볶이","볶음류","떡볶이류","100","236","42","8","4.4","10","608"
"156","매콤깻잎순대볶음","볶음류","기타 볶음류","100","135","20","7","2.9","3","514"
"157","치즈품은 닭갈비","볶음류","육류볶음","100","180","17","10","8","2","437"
"158","허니 치즈 프라이","볶음류","채소류볶음","100","307","22","3","23","7","189"
"159","신림동 백순대볶음","볶음류","기타 볶음류","100","139","25","3","2.6","3","454"
"160","호로록 우삼겹 떡볶이","볶음류","떡볶이류","100","278","39","8","10","7","548"
"161","가자미조림","조림류","어패류조림","300","297.98","21.5","37.1","7.1","10.5","1692.83"
"162","고추조림","조림류","채소류조림","100","111","13.4","3.3","4.9","7.1","779.1"
"163","동태조림","조림류","어패류조림","250","276","17.4","40.8","4.7","10.2","1391.69"
"164","돼지고기메추리알장조림","조림류","육류조림","50","63.49","3.37","8.34","1.85","1.27","582.99"
"165","북어조림","조림류","어패류조림","100","181.86","17.14","20.83","3.33","8.2","765.95"
"166","소고기메추리알장조림","조림류","육류조림","50","60.65","2.88","8.14","1.84","0.71","602.12"
"167","조기조림","조림류","어패류조림","300","384","12.8","41.1","18.8","4.5","1771.22"
"168","갈치조림","조림류","어패류조림","100","100.82","6.16","12.72","2.81","6.29","567.55"
"169","감자조림","조림류","채소류조림","50","56.79","9.05","1.2","1.76","3.84","243.52"
"170","건갈치조림","조림류","어패류조림","100","127.65","4.64","15.93","5.04","5.35","1169.12"
"171","고등어조림","조림류","어패류조림","100","141.01","4.1","11.25","8.84","3.39","389.57"
"172","꽁치조림","조림류","어패류조림","100","243.51","5.14","15.52","17.87","4.05","349.67"
"173","달걀장조림","조림류","기타 조림류","100","138.11","8.67","9.85","7.12","6.87","627.5"
"174","닭고추장조림","조림류","육류조림","250","379.87","33.13","22.79","17.36","5.09","724.24"
"175","닭조림","조림류","육류조림","150","294.79","9.86","27.05","16.35","0.75","705.01"
"176","돼지고기 메추리알 장조림","조림류","육류조림","100","166.24","4.26","20.07","7.66","6.19","388.14"
"177","돼지고기장조림","조림류","육류조림","100","72.66","0.63","15.58","0.87","7.27","802.09"
"178","두부조림","조림류","기타 조림류","50","71.55","2.2","4.82","4.83","1.82","80.66"
"179","땅콩조림","조림류","기타 조림류","20","96.52","3.99","3.75","7.28","1.97","114.74"
"180","마늘쫑조림","조림류","채소류조림","100","194.24","43.82","4.04","0.31","6.42","1191.03"
"181","메추리알 장조림","조림류","기타 조림류","100","202.86","6.3","14.25","13.41","3.48","754.51"
"182","멸치조림","조림류","어패류조림","100","318.37","8.93","40.92","13.22","7.35","3162.58"
"183","무조림","조림류","채소류조림","150","71.44","6.43","3.39","3.57","5.81","1168.66"
"184","미트볼조림","조림류","육류조림","150","331.41","19.42","27.23","16.09","15.78","472.37"
"185","버섯조림","조림류","채소류조림","150","90.66","9.34","6.57","3","2.92","452.58"
"186","병어조림","조림류","어패류조림","100","112.38","4.87","12.46","4.78","0.22","842.21"
"187","삼치조림","조림류","어패류조림","100","124.64","2.61","15.88","5.63","2.03","441.01"
"188","쇠고기 메추리알 장조림","조림류","육류조림","100","157.49","15.56","11.69","5.39","3.32","877.28"
"189","쇠고기장조림","조림류","육류조림","100","68.76","4.84","10.41","0.86","1","543.47"
"190","양미리조림","조림류","어패류조림","100","65.31","9.09","5.76","0.66","2.2","710.57"
"191","어묵조림","조림류","어패류조림","200","317.02","46.32","11.65","9.46","4.85","856.48"
"192","연근조림","조림류","채소류조림","50","87.19","14.71","1.34","2.55","1.39","330.58"
"193","오징어조림","조림류","어패류조림","150","206.02","18.68","24.82","3.56","10.28","2203.44"
"194","오징어채조림","조림류","어패류조림","50","119.8","12.68","11.76","2.45","6.89","564.87"
"195","우엉조림","조림류","채소류조림","30","56.54","10.44","1.44","1","8.53","352.17"
"196","쥐포조림","조림류","어패류조림","100","276.3","36.12","13.03","8.86","23.37","1264.75"
"197","코다리조림","조림류","어패류조림","100","86.06","4.16","16.46","0.4","3.67","465.52"
"198","콩조림","조림류","기타 조림류","30","84.27","10.45","5.39","2.32","1.06","260.31"
"199","곤약 감자조림","조림류","채소류조림","61","37.8","8.78","0.64","0.01","0","305"
"200","갈치조림","조림류","어패류조림","100","100","7","9","4","3","321"
"201","고등어조림","조림류","어패류조림","100","113","7","10","5","3","310"
"202","가자미두마리조림","조림류","어패류조림","100","99","7","11","2.5","3","378"
